"","trp1_l61_2mM","his1_l61_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P12:AD:Jerala_P3",3173,284,137,156,888.295509757213,1.27690377058081,1.47712691825956,0.01386169349725,0.03437699987318
"DBD:Jerala_P12:AD:Jerala_P4",1707,113,203,12,168.857513585611,-0.178888020446004,0.370689329076532,0.396947233616445,NA
"DBD:Jerala_P12:AD:Jerala_P5",3629,255,152,8,188.606229142003,-0.192374496968132,0.327211115515292,0.37483184510116,NA
"DBD:Jerala_P12:AD:Jerala_P6",3169,220,278,13,239.299287737063,-0.242842964557629,0.359358502215097,0.262634889469088,0.339236732230905
"DBD:Jerala_P12:AD:Jerala_P7",3227,461,206,8,232.719990114279,0.0145584811915718,0.337217507317223,0.945503076026528,NA
"DBD:Jerala_P12:AD:Jerala_P8",3097,217,197,6,178.344814170432,-0.350060015568809,0.345579913872986,0.116196408039984,NA
"DBD:Jerala_P12:AD:Jerala_P9",2249,144,60,2,89.5622096797865,-0.157201904060546,0.403189474324234,0.437382340232586,NA
"DBD:Jerala_P12:AD:Jerala_P10",3112,496,201,8,234.921154060905,0.0601377431676674,0.340186305933198,0.777535159584563,0.831158274038671
"DBD:Jerala_P12:AD:Jerala_P11",1503,35130,121,2719,18786.5455386995,8.10824300395707,0.699363481944239,1.92606086752394e-31,2.38831547572969e-30
"DBD:Jerala_P12:AD:Jerala_P12",3174,353,104,1,148.267854732294,-0.0603646872494527,0.367528636377376,0.769778916834256,NA
