"","trp1_l43","his1_l43","trp1_l44","his1_l44","trp1_l49","his1_l49","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:A_ZCON_150:AD:DHDr2_00_B",1826,139,405,38,16,3,82.9071063463951,-0.0281219428635019,0.292895801001037,0.752663948894237,NA
"DBD:A_ZCON_150:AD:DHDr2_01_A",664,1,108,18,17,1,27.0713837771171,-0.203603108402102,0.640373840729544,0.221558179182629,NA
"DBD:A_ZCON_150:AD:DHDr2_01_B",3470,141,324,18,19,4,97.0020277217779,-0.0922054982682269,0.395210197196546,0.402377184334555,NA
"DBD:A_ZCON_150:AD:DHDr2_02_A",894,96,180,31,8,0,44.3299638086598,0.00999965370330323,0.342781418213801,0.920345655208948,NA
"DBD:A_ZCON_150:AD:DHDr2_02_B",27,2,10,5,30,1,18.3777739911959,-0.297874389645379,0.887832595816109,0.194196200926262,NA
"DBD:A_ZCON_150:AD:DHDr2_03_A",2300,71,312,33,7,0,62.5786010218744,-0.11386278443766,0.481917075199175,0.379020206477157,NA
"DBD:A_ZCON_150:AD:DHDr2_03_B",7926,867,524,101,52,32,359.574736508189,0.0669570823884041,0.35075721182779,0.506507267595848,0.784196898108675
"DBD:A_ZCON_150:AD:DHDr2_04_A",3127,111,503,185,21,1,133.802021051989,-0.00111412816051482,0.334753525834659,0.990941266792449,0.996468329185059
"DBD:A_ZCON_150:AD:DHDr2_04_B",4042,39,863,101,64,30,205.764468793659,-0.0336646636587132,0.312736234254192,0.717372561657158,0.898420858048065
"DBD:A_ZCON_150:AD:DHDr2_05_A",9559,263,393,106,23,3,211.170939164805,-0.0900525051425322,0.428313923237904,0.443367133455157,0.741012202068409
"DBD:A_ZCON_150:AD:DHDr2_05_B",6003,254,1013,107,72,6,224.829544097021,-0.113987864775967,0.36168164233284,0.280913709106444,0.599449789968215
"DBD:A_ZCON_150:AD:DHDr2_06_A",3144,101,419,75,14,2,99.5056848393912,-0.061535416821708,0.347593479805654,0.538783430524969,NA
"DBD:A_ZCON_150:AD:DHDr2_06_B",1492,55,449,73,19,3,78.5795599610683,-0.0440802789163783,0.296784779945648,0.62573775335165,NA
"DBD:A_ZCON_150:AD:DHDr2_07_A",2327,207,480,133,24,5,134.210049460247,0.0384254711747167,0.287050510575088,0.664631716420938,0.874230452443784
"DBD:A_ZCON_150:AD:DHDr2_07_B",3796,5054,555,84,18,4,870.386730328413,1.19916573187053,1.64172685640289,NA,NA
"DBD:A_ZCON_150:AD:DHDr2_08_A",1253,12,604,83,15,5,80.7129927606117,-0.0495335723718104,0.358528246244302,0.629427333785368,NA
"DBD:A_ZCON_150:AD:DHDr2_08_B",5432,117,508,58,16,8,140.828867101886,-0.10538693477254,0.399265910522543,0.343651364534608,0.664082102834745
"DBD:A_ZCON_150:AD:DHDr2_09_A",957,197,395,75,9,3,87.3542013307076,0.0829892216640547,0.365639313432904,0.425063176023515,NA
"DBD:A_ZCON_150:AD:DHDr2_09_B",4875,293,192,90,16,1,141.469977513659,-0.00309428918884629,0.366253884118485,0.976694557549566,0.991099438174878
"DBD:A_ZCON_150:AD:DHDr2_10_A",4463,428,614,148,29,6,206.322842593112,0.0315746071371309,0.305238460362249,0.730133134004802,0.904670332325436
"DBD:A_ZCON_150:AD:DHDr2_10_B",2589,238,395,96,12,2,117.18898106854,0.0284583391511892,0.328196938905365,0.76757496587523,NA
"DBD:A_ZCON_150:AD:DHDr2_11_A",4020,115,513,23,11,2,101.169394611372,-0.184500214383373,0.556502035173864,0.209079762454712,NA
"DBD:A_ZCON_150:AD:DHDr2_11_B",8453,756,948,156,41,2,316.255065382783,0.00103860170877272,0.349881754187499,0.991860129468502,0.996468329185059
"DBD:A_ZCON_150:AD:DHDr2_12_A",213,19,127,8,3,0,14.2985565705782,-0.0656389529695552,0.417348220131598,0.571915782471121,NA
"DBD:A_ZCON_150:AD:DHDr2_12_B",3643,142,631,75,38,0,127.936961034241,-0.1120848172975,0.454871541530756,0.362471456593729,0.68015821669096
"DBD:A_ZCON_150:AD:DHDr2_13_A",2520,208,322,62,28,11,125.481780074864,0.0313956145439437,0.27112744311992,0.71555148696377,0.897354129329599
"DBD:A_ZCON_150:AD:DHDr2_13_B",9848,431,898,3206,38,1,1055.35799386733,0.39528858537216,0.98032796434,0.124198336493286,0.38741096270582
"DBD:A_ZCON_150:AD:DHDr2_14_A",1995,66,318,27,16,0,61.2435967322055,-0.156761030588117,0.513744464373006,0.250988202453864,NA
"DBD:A_ZCON_150:AD:DHDr2_14_B",1547,90,396,65,22,0,75.5832586121546,-0.0470188560461627,0.353712576537035,0.643603143043889,NA
"DBD:A_ZCON_150:AD:DHDr2_15_A",3214,20,445,24,49,1,90.5892854968097,-1.97988092444017,1.29081126685691,0.00237233930900325,NA
"DBD:A_ZCON_150:AD:DHDr2_15_B",5220,593,399,53,13,2,190.989147071147,0.0313545257844259,0.388863980652518,0.777491162531289,0.919959752640212
"DBD:A_ZCON_150:AD:DHDr2_16_A",4153,186,489,30,11,6,122.177863714618,-0.0601830959526394,0.360181338038276,0.558152084367718,0.815266570599896
"DBD:A_ZCON_150:AD:DHDr2_16_B",3702,363,707,193,62,5,216.670746449768,0.0175955187204028,0.279911803185291,0.839508529087209,0.9413410950204
"DBD:A_ZCON_150:AD:DHDr2_17_A",55,5,23,1,1,2,7.10859950741014,0.0654295801795192,0.483488924251017,0.62495520265222,NA
