"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P6:AD:Jerala_P5",1663,3625,1499,332,3262.79923543418,3.33807808597689,1.18332222150873,0.000356044237413727,0.00301590412868098
"DBD:Jerala_P7:AD:Jerala_P5",3027,221,2053,107,662.587504575834,-0.0237874492140076,0.161494865439055,0.388663647416181,0.789404555413207
"DBD:Jerala_P8:AD:Jerala_P5",3406,243,2825,171,836.208825148796,-0.0181649983884513,0.131869452142467,0.405000399993023,0.789404555413207
"DBD:Jerala_P9:AD:Jerala_P5",7351,450,3753,4194,5547.0759740805,0.828274277022743,1.30455762860325,0.0329030115370064,0.175482728197368
"DBD:Jerala_P10:AD:Jerala_P5",5595,7314,3297,218,6297.25867026782,1.42649094409529,1.66918093713368,0.0167691665114953,0.0928753837559738
"DBD:Jerala_P11:AD:Jerala_P5",2224,258,3164,6665,7561.05181335902,3.12042725373897,1.85977665575574,0.00267307931440964,0.0198012673280228
"DBD:Jerala_P12:AD:Jerala_P5",3629,255,4485,274,1104.32411360099,-0.0180260008656163,0.147083516607753,0.484222906671937,0.789404555413207
"DBD:Jerala_P7:AD:Jerala_P6",2176,157,1417,95,488.98160344131,-0.0141198301487382,0.128494101905968,0.526339013418426,0.789404555413207
"DBD:Jerala_P8:AD:Jerala_P6",2744,259,4016,254,983.688557886419,-0.00806557826630399,0.124927904643756,0.727861332011704,0.806246398536042
"DBD:Jerala_P9:AD:Jerala_P6",3432,196,2971,159,802.857883980836,-0.0442840299178587,0.206323576857803,0.192806590027832,0.632998061586179
"DBD:Jerala_P10:AD:Jerala_P6",5601,2544,4966,333,3036.58130418608,0.203138269203975,0.599513335830247,0.116203298901717,0.478093572624206
"DBD:Jerala_P11:AD:Jerala_P6",2725,259,3874,272,989.474905165181,-0.00435573759291135,0.119833708888643,0.847449216368708,0.876664749290317
"DBD:Jerala_P12:AD:Jerala_P6",3169,220,3638,242,942.464172835794,-0.0143193833926726,0.135277736416844,0.550006061026322,0.789404555413207
"DBD:Jerala_P8:AD:Jerala_P7",2071,29996,2410,18154,41398.1516297674,6.79931354863318,0.528208535050701,2.20757490421692e-38,6.35781572414473e-37
"DBD:Jerala_P9:AD:Jerala_P7",2664,2462,4101,178,2530.04909908449,0.376371530251086,0.881295433774694,0.0798250456999155,0.35921270564962
"DBD:Jerala_P10:AD:Jerala_P7",5186,418,1732,107,938.761177237639,-0.0147651375189275,0.198979230757239,0.722366259758836,0.806246398536042
