PPI,trp1,his1
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_42_swap,179.0,2.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_43_swap,90.0,7.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_44_swap,107.0,28.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_45_swap,54.0,5.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_46_swap,97.0,17.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_47_swap,121.0,13.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_48_swap,3.0,1.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_49_swap,135.0,6.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_4_swap,1009.0,133.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_50_swap,301.0,12.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_51_swap,27.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_52_swap,418.0,49.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_53_swap,144.0,8.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_54_swap,10.0,5.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_55_swap,158.0,13.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_56_swap,172.0,19.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_57_swap,110.0,5.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_58_swap,197.0,24.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_59_swap,86.0,13.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_5_swap,96.0,4.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_60_swap,473.0,35.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_61_swap,87.0,20.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_62_swap,10.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_63_swap,427.0,17.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_64_swap,543.0,45.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_65_swap,298.0,17.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_66_swap,272.0,22.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_67_swap,41.0,7.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_68_swap,213.0,15.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_69_swap,291.0,43.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_6_swap,6.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_70_swap,101.0,18.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_71_swap,144.0,25.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_72_swap,849.0,80.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_73_swap,486.0,45.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_74_swap,152.0,42.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_75_swap,1171.0,144.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_76_swap,216.0,16.0
