,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
A_HT_DHD_10_swap:A_HT_DHD_40_swap,8.0,651.0,19.0,230.0
A_HT_DHD_10_swap:A_HT_DHD_41_swap,735.0,332.0,281.0,70.0
A_HT_DHD_10_swap:A_HT_DHD_42_swap,8.0,381.0,10.0,197.0
A_HT_DHD_10_swap:A_HT_DHD_43_swap,2.0,6.0,5.0,16.0
A_HT_DHD_10_swap:A_HT_DHD_44_swap,437.0,721.0,295.0,342.0
A_HT_DHD_10_swap:A_HT_DHD_45_swap,607.0,724.0,372.0,3704.0
A_HT_DHD_10_swap:A_HT_DHD_46_swap,246.0,450.0,191.0,189.0
A_HT_DHD_10_swap:A_HT_DHD_47_swap,625.0,116.0,314.0,60.0
A_HT_DHD_10_swap:A_HT_DHD_48_swap,496.0,533.0,398.0,567.0
A_HT_DHD_10_swap:A_HT_DHD_49_swap,109.0,432.0,40.0,217.0
A_HT_DHD_10_swap:A_HT_DHD_4_swap,1171.0,947.0,911.0,569.0
A_HT_DHD_10_swap:A_HT_DHD_50_swap,140.0,401.0,79.0,186.0
A_HT_DHD_10_swap:A_HT_DHD_51_swap,117.0,111.0,33.0,64.0
A_HT_DHD_10_swap:A_HT_DHD_52_swap,527.0,515.0,283.0,349.0
A_HT_DHD_10_swap:A_HT_DHD_53_swap,1190.0,417.0,722.0,156.0
A_HT_DHD_10_swap:A_HT_DHD_54_swap,502.0,10.0,414.0,6.0
A_HT_DHD_10_swap:A_HT_DHD_55_swap,291.0,374.0,210.0,241.0
A_HT_DHD_10_swap:A_HT_DHD_56_swap,406.0,166.0,209.0,111.0
A_HT_DHD_10_swap:A_HT_DHD_57_swap,515.0,795.0,251.0,343.0
A_HT_DHD_10_swap:A_HT_DHD_58_swap,536.0,34.0,209.0,25.0
A_HT_DHD_10_swap:A_HT_DHD_59_swap,280.0,435.0,142.0,207.0
A_HT_DHD_10_swap:A_HT_DHD_5_swap,166.0,510.0,58.0,264.0
A_HT_DHD_10_swap:A_HT_DHD_60_swap,1177.0,422.0,501.0,270.0
A_HT_DHD_10_swap:A_HT_DHD_61_swap,1623.0,292.0,834.0,103.0
A_HT_DHD_10_swap:A_HT_DHD_62_swap,214.0,383.0,78.0,166.0
A_HT_DHD_10_swap:A_HT_DHD_63_swap,82.0,427.0,20.0,338.0
A_HT_DHD_10_swap:A_HT_DHD_64_swap,692.0,1059.0,334.0,461.0
A_HT_DHD_10_swap:A_HT_DHD_65_swap,564.0,451.0,295.0,269.0
A_HT_DHD_10_swap:A_HT_DHD_66_swap,325.0,909.0,119.0,415.0
A_HT_DHD_10_swap:A_HT_DHD_67_swap,937.0,480.0,418.0,165.0
A_HT_DHD_10_swap:A_HT_DHD_68_swap,797.0,1240.0,356.0,521.0
A_HT_DHD_10_swap:A_HT_DHD_69_swap,1425.0,518.0,741.0,204.0
A_HT_DHD_10_swap:A_HT_DHD_6_swap,14.0,406.0,4.0,149.0
