PPI,trp1,his1
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_32_swap,251.0,8.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_33_swap,239.0,26.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_34_swap,25.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_35_swap,260.0,1268.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_36_swap,486.0,27.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_37_swap,251.0,30.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_38_swap,906.0,74.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_39_swap,888.0,147.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_3_swap,370.0,27.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_40_swap,136.0,1.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_41_swap,603.0,49.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_42_swap,160.0,19.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_43_swap,121.0,20.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_44_swap,455.0,45.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_45_swap,216.0,2184.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_46_swap,781.0,93.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_47_swap,895.0,118.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_48_swap,275.0,8.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_49_swap,59.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_4_swap,482.0,137.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_50_swap,562.0,49.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_51_swap,14.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_52_swap,444.0,61.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_53_swap,683.0,108.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_54_swap,175.0,77.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_55_swap,24.0,11.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_56_swap,658.0,54.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_57_swap,730.0,95.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_58_swap,795.0,41.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_59_swap,466.0,97.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_5_swap,155.0,34.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_60_swap,1196.0,189.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_61_swap,1131.0,158.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_62_swap,224.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_63_swap,339.0,50.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_64_swap,554.0,33.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_65_swap,582.0,123.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_66_swap,704.0,50.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_67_swap,364.0,43.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_68_swap,579.0,78.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_69_swap,1031.0,400.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_6_swap,222.0,8.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_70_swap,273.0,37.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_71_swap,251.0,27.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_72_swap,593.0,36.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_73_swap,378.0,95.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_74_swap,826.0,291.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_75_swap,1329.0,150.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_76_swap,893.0,74.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_77_swap,343.0,64.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_78_swap,361.0,59.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_79_swap,947.0,1881.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_7_swap,126.0,36.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_80_swap,866.0,1021.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_81_swap,508.0,44.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_82_swap,1420.0,123.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_83_swap,860.0,72.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_84_swap,624.0,23.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_85_swap,119.0,26.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_86_swap,436.0,79.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_87_swap,48.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_88_swap,760.0,87.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_89_swap,304.0,31.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_8_swap,98.0,22.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_90_swap,471.0,34.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_91_swap,534.0,52.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_92_swap,438.0,140.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_93_swap,453.0,52.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_94_swap,315.0,61.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_95_swap,615.0,114.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_96_swap,252.0,60.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_97_swap,518.0,75.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_98_swap,623.0,95.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_99_swap,560.0,61.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_9_swap,681.0,100.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_13_swap,632.0,95.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_150_swap,1454.0,128.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_154_swap,714.0,43.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_155_swap,1303.0,146.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_15_re_loop_swap,456.0,23.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_162_swap,915.0,87.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_37_3_swap,405.0,23.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_37_swap,291.0,34.0
DBD:A_HT_DHD_10_swap:AD:A_ZCON_6_swap,353.0,154.0
