PPI,trp1,his1
DBD:1002__mALb8x1_rprtc_B:AD:1015__IL9_2Hx12j_B,5740.0,4718.0
DBD:1002__mALb8x1_rprtc_B:AD:1016__IL14_2Hx1_A,5552.0,1554.0
DBD:1002__mALb8x1_rprtc_B:AD:1016__IL14_2Hx1_B,1356.0,464.0
DBD:1002__mALb8x1_rprtc_B:AD:1017__IL14_2Hx2_A,3860.0,1422.0
DBD:1002__mALb8x1_rprtc_B:AD:1017__IL14_2Hx2_B,3625.0,1344.0
DBD:1002__mALb8x1_rprtc_B:AD:1018__BW1_2H_A,1282.0,127.0
DBD:1002__mALb8x1_rprtc_B:AD:1018__BW1_2H_B,4223.0,4522.0
DBD:1002__mALb8x1_rprtc_B:AD:1019__BW2_2H_A,3749.0,740.0
DBD:1002__mALb8x1_rprtc_B:AD:1019__BW2_2H_B,5017.0,333.0
DBD:1002__mALb8x1_rprtc_B:AD:1020__BW3_2H_A,2012.0,443.0
DBD:1002__mALb8x1_rprtc_B:AD:1020__BW3_2H_B,3502.0,3296.0
DBD:1002__mALb8x1_rprtc_B:AD:1021__BW5_2H_A,2870.0,53900.0
DBD:1002__mALb8x1_rprtc_B:AD:1021__BW5_2H_B,4159.0,521.0
DBD:1002__mALb8x1_rprtc_B:AD:1022__BW8_2H_A,4952.0,616.0
DBD:1002__mALb8x1_rprtc_B:AD:1022__BW8_2H_B,3351.0,6347.0
DBD:1002__mALb8x1_rprtc_B:AD:1023__BW9_2H_A,3592.0,909.0
DBD:1002__mALb8x1_rprtc_B:AD:1023__BW9_2H_B,2785.0,490.0
